Marketing expense,Production expense,Multiplex coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,3D_available,Time_taken,Twitter_hastags,Avg_age_actors,Num_multiplex,Collection,Genre_Action,Genre_Comedy,Genre_Drama,Genre_Thriller
156.0234,91.2,0.287,33779.955,157.9,8.63,8.76,8.6,8.575,7.96,438369,1,108.0,283.2,27,727,40000,0,0,1,0
173.4404,91.2,0.307,31924.585,172.4,9.135,9.23,9.125,9.24,6.96,384688,0,185.4,281.36,22,663,17000,0,1,0,0
29.5094,74.8,0.456,33957.715,132.3,7.965,8.07,7.88,8.08,7.32,471282,0,206.4,243.36,36,542,42000,1,0,0,0
68.9906,94.16,0.395,35563.11,168.7,8.85,8.94,8.835,8.85,8.06,449755,0,110.92,303.568,22,536,44600,1,0,0,0
148.881,91.2,0.416,35690.875,148.3,8.8,9.04,8.83,8.93,7.96,458882,1,174.44,202.576,42,538,32200,0,1,0,0
20.5526,60.9,0.572,36635.225,95.3,7.175,7.325,7.225,7.475,8.34,553070,1,138.32,244.928,49,451,61600,0,0,0,1
20.63,57.94,0.597,38746.125,88.8,6.015,6.24,6.11,6.33,8.6,536549,1,159.96,265.584,24,413,69800,0,1,0,0
66.008,94.16,0.395,35102.045,169.6,8.855,8.98,8.88,9.085,8.06,473988,0,133.52,223.808,23,663,47600,0,1,0,0
20.723,64.9,0.589,36829.65,96.9,7.375,7.48,7.315,7.595,8.16,529498,0,169.16,244.464,37,390,55800,0,0,0,1
145.7614,91.2,0.26,35224.255,169.9,8.885,8.98,8.89,9.105,7.96,401882,0,203.96,302.384,41,707,29800,0,1,0,0
23.4892,76.18,0.511,33107.8,165.6,8.045,8.185,8.02,8.0,8.28,402133,1,160.68,243.472,36,446,43400,0,1,0,0
22.292,68.92,0.536,36318.59,132.2,7.995,8.185,7.94,8.045,7.28,502420,1,169.76,263.904,40,440,48800,0,0,0,1
298.268,91.2,0.287,34485.44,168.5,8.78,8.955,8.845,8.975,7.96,420282,0,156.68,221.872,37,749,23400,0,1,0,0
21.2152,78.86,0.427,38751.68,164.5,8.83,8.97,8.855,9.01,7.8,532239,0,109.56,243.824,31,576,47800,0,1,0,0
21.2254,67.82,0.553,37918.43,101.1,7.43,7.58,7.54,7.725,7.48,516911,0,125.24,225.296,21,417,66200,0,0,0,1
21.4044,63.1,0.49,33441.1,120.7,8.125,8.295,8.11,8.36,7.68,491916,1,171.28,303.712,49,520,46400,0,0,1,0
83.272,91.2,0.345,31991.245,121.7,8.37,8.595,8.365,8.54,6.96,431316,0,199.96,243.184,43,660,39800,0,1,0,0
183.0348,91.2,0.3,29941.45,172.4,9.0,9.25,9.025,9.265,7.96,369811,0,120.6,241.84,51,616,23000,1,0,0,0
26.5964,98.78,0.376,32341.21,168.9,8.635,8.79,8.735,8.895,7.76,426316,1,205.36,202.944,58,617,36800,1,0,0,0
259.022,91.2,0.341,31152.44,173.5,9.27,9.46,9.305,9.39,7.96,434373,1,133.16,264.464,26,672,55800,0,0,0,1
32.4712,67.4,0.493,38212.845,151.2,8.295,8.395,8.31,8.455,7.52,470809,1,189.0,244.4,50,469,55000,1,0,0,0
21.6442,66.72,0.569,38646.135,80.3,5.41,5.575,5.45,5.755,7.18,534094,0,179.84,244.736,57,396,59200,1,0,0,0
21.072,66.28,0.561,36168.605,94.6,6.49,6.62,6.44,6.815,8.64,504792,0,198.0,284.0,56,462,50000,0,0,0,1
23.9604,76.18,0.511,34341.01,115.9,7.925,8.095,8.02,8.065,7.28,456943,1,157.3914979757085,244.0,30,480,50000,0,0,1,0
27.0228,69.76,0.507,33557.755,123.4,7.535,7.785,7.565,7.67,8.08,491464,0,178.16,263.264,40,457,40800,0,1,0,0
195.8424,91.2,0.416,30913.575,144.1,8.87,9.005,8.81,9.185,6.96,398327,0,156.68,221.872,57,638,23400,0,1,0,0
337.206,91.2,0.321,32752.28,168.9,8.925,9.145,9.015,9.095,7.96,349335,1,111.32,301.328,51,674,16600,0,0,1,0
22.9864,65.26,0.547,31891.255,139.7,6.335,6.42,6.235,6.56,7.06,465689,0,157.3914979757085,222.992,30,439,37400,0,0,0,1
44.4716,94.16,0.395,38568.365,170.9,9.005,9.12,9.04,9.08,9.06,501350,1,164.52,266.608,57,549,82600,0,1,0,0
36.5052,62.94,0.353,40701.485,168.0,8.795,8.99,8.895,9.16,8.4,450060,1,114.4,224.96,60,555,62000,0,1,0,0
21.5792,80.66,0.563,34846.515,79.5,7.73,8.025,7.715,8.025,7.26,488560,0,157.64,203.856,40,389,48200,0,0,0,1
23.352,69.76,0.507,35696.43,125.8,7.63,7.84,7.615,7.83,8.08,510893,1,135.52,263.808,48,554,47600,0,0,0,1
516.034,91.2,0.307,29713.695,169.5,9.125,9.31,9.06,9.1,6.96,384237,1,157.3914979757085,301.328,40,677,16600,0,0,0,1
22.8104,76.18,0.511,35413.125,105.8,7.945,8.04,7.91,8.215,7.28,504226,1,151.24,204.496,3,441,56200,0,1,0,0
32.5478,71.28,0.462,32407.87,130.0,7.7,7.825,7.64,7.84,6.8,497626,1,169.96,283.184,28,598,39800,0,0,0,1
30.2366,67.4,0.493,40873.69,145.1,7.88,8.09,7.835,7.9,7.52,533135,1,210.6,245.04,34,562,63000,0,0,0,1
23.1752,76.62,0.587,33113.355,91.0,7.28,7.4,7.29,7.455,8.16,491978,0,200.68,263.472,46,400,43400,1,0,0,0
21.59,58.38,0.589,36546.345,109.4,4.51,4.785,4.575,4.705,7.34,528366,1,111.64,203.856,45,363,48200,0,0,0,1
189.8426,91.2,0.416,35263.14,159.6,8.86,9.105,8.92,9.005,6.96,416738,0,181.8,222.32,53,637,29000,0,0,0,1
21.4488,58.38,0.589,32685.62,92.0,4.585,4.725,4.515,4.75,8.34,500120,1,147.44,222.976,50,397,37200,0,0,0,1
22.5514,64.86,0.572,35513.115,81.3,6.47,6.515,6.435,6.505,7.68,537248,1,147.48,303.792,26,481,47400,0,0,0,1
22.0,67.18,0.567,38785.01,91.2,7.095,7.32,7.245,7.355,8.78,546989,0,165.24,285.296,34,511,66200,0,1,0,0
21.3328,63.1,0.49,36363.03,106.6,8.39,8.545,8.395,8.41,7.68,500067,1,123.76,244.704,48,509,58800,0,1,0,0
20.7168,61.74,0.602,34940.95,91.3,6.69,6.785,6.575,6.725,8.78,545499,0,189.4,243.76,20,375,47000,0,0,0,1
21.147,63.98,0.551,36829.65,129.6,7.625,7.925,7.755,7.815,8.3,495454,0,194.64,244.256,56,521,53200,0,0,0,1
20.272,63.0,0.59,32707.84,121.1,6.3,6.365,6.2,6.5,6.78,410055,1,173.56,303.024,55,387,37800,0,1,0,0
20.6854,65.38,0.485,32602.295,119.8,7.25,7.545,7.25,7.495,6.96,483878,0,201.8,303.12,53,447,39000,0,0,0,1
787.036,91.2,0.307,30291.415,173.5,9.215,9.37,9.105,9.33,6.96,291101,0,186.0,260.8,26,653,10000,0,0,1,0
20.411,56.48,0.59,35457.565,109.2,5.34,5.535,5.285,5.465,8.54,539589,1,115.88,303.952,22,383,49400,0,0,1,0
21.9698,106.3,0.419,32657.845,169.3,8.895,9.13,8.9,9.06,8.18,395312,0,125.52,263.008,56,622,37600,0,0,0,1
23.0196,75.02,0.453,33446.655,156.1,8.615,8.755,8.54,8.595,7.44,454755,0,189.68,303.072,28,609,38400,1,0,0,0
106.9758,91.2,0.42,34257.685,157.5,8.39,8.515,8.47,8.555,7.96,399291,0,111.96,243.184,36,638,39800,0,0,0,1
40.049,71.28,0.462,37074.07,160.8,7.735,8.03,7.82,7.935,6.8,466851,0,180.4,243.36,50,488,42000,0,0,0,1
264.944,91.2,0.416,32424.535,133.2,8.865,9.165,8.905,9.07,6.96,401981,0,182.08,281.632,33,558,20400,0,1,0,0
306.674,91.2,0.386,34602.095,161.5,8.865,9.09,8.96,9.185,6.96,457225,0,122.56,203.424,32,632,42800,0,0,0,1
21.8598,106.3,0.419,33113.355,166.4,8.83,9.075,8.865,9.05,8.18,388265,1,178.2,203.28,51,608,41000,0,1,0,0
20.7864,61.82,0.511,35579.775,147.4,8.42,8.525,8.295,8.575,7.44,496193,0,164.8,263.52,23,451,44000,0,0,0,1
520.922,91.2,0.307,33257.785,173.5,9.135,9.31,9.04,9.335,7.96,308973,1,184.24,220.896,30,618,11200,0,0,1,0
24.5938,76.18,0.511,35140.93,126.0,7.685,7.88,7.765,7.955,7.28,444948,1,133.76,223.904,52,511,48800,0,0,0,1
20.8226,64.72,0.574,37368.485,107.0,7.25,7.36,7.3,7.29,8.2,499995,1,129.2,284.48,54,374,56000,0,0,1,0
306.674,91.2,0.3,27108.4,173.5,9.115,9.315,9.175,9.215,6.96,278464,0,122.08,201.632,25,711,20400,0,0,1,0
36.0542,71.28,0.462,30308.08,110.1,8.1,8.24,8.07,8.0,6.8,448317,1,170.08,243.232,41,543,40400,1,0,0,0
27.1618,67.4,0.493,38612.805,162.0,8.485,8.64,8.485,8.67,8.52,480270,0,174.68,224.272,23,536,53400,0,0,0,1
28.8356,67.4,0.496,36396.36,94.9,8.22,8.36,8.29,8.385,8.52,561219,1,146.6,305.04,47,444,63000,0,1,0,0
25.6784,69.76,0.507,31707.94,147.8,7.545,7.7,7.55,7.765,8.08,446743,1,131.4,302.96,25,501,37000,0,1,0,0
21.433,106.3,0.419,33352.22,157.6,8.78,9.02,8.815,8.99,8.18,454602,1,194.12,203.248,39,568,40600,1,0,0,0
30.81,62.94,0.425,41495.85,126.1,8.415,8.69,8.51,8.645,9.4,558567,0,181.4,306.96,43,504,87000,0,0,1,0
323.544,91.2,0.26,34174.36,173.5,8.995,9.07,9.015,9.095,6.96,321678,0,197.28,221.312,60,674,16400,0,1,0,0
192.8952,91.2,0.307,34402.115,166.1,9.055,9.17,8.955,9.235,7.96,437541,0,181.52,282.208,55,628,27600,0,0,0,1
204.646,91.2,0.369,34529.88,173.5,9.31,9.525,9.32,9.505,7.96,454281,1,196.0,268.0,25,609,100000,0,1,0,0
26.3066,67.4,0.496,45917.63,151.8,8.52,8.635,8.435,8.62,8.52,549160,1,135.92,247.168,47,570,89600,0,0,1,0
25.0398,76.18,0.511,32124.565,146.2,7.68,7.875,7.7,8.04,8.28,378970,1,159.0,203.6,38,519,45000,0,1,0,0
134.1636,91.2,0.468,37496.25,148.4,8.28,8.37,8.31,8.38,7.96,488266,0,139.48,303.792,46,470,47400,0,1,0,0
20.5462,69.14,0.531,35668.655,152.4,7.505,7.65,7.44,7.47,7.44,494055,0,146.64,243.456,42,462,43200,0,0,1,0
20.8406,85.08,0.536,35785.31,127.1,8.02,8.295,8.015,8.34,8.36,489837,0,183.16,283.664,60,518,45800,0,0,1,0
24.2248,70.74,0.476,31280.205,173.5,6.91,7.075,6.85,7.0,7.96,295168,1,118.6,242.64,55,564,33000,0,1,0,0
21.8356,63.1,0.49,35640.88,157.6,8.57,8.715,8.615,8.805,7.68,467457,1,197.44,203.776,59,540,47200,0,1,0,0
24.5854,68.82,0.552,33496.65,159.0,7.085,7.18,7.125,7.23,7.42,374797,1,106.64,242.656,44,526,33200,0,0,0,1
35.0052,71.28,0.462,32907.82,167.6,7.655,7.965,7.64,7.94,7.8,414145,1,164.24,262.496,27,502,31200,0,0,1,0
32.294,67.4,0.493,36762.99,154.3,8.25,8.4,8.23,8.58,7.52,489836,1,194.04,244.816,39,491,60200,0,0,0,1
1490.682,91.2,0.321,33091.135,173.5,9.02,9.155,9.075,9.15,7.96,383325,0,169.52,241.408,52,680,17600,0,1,0,0
45.0358,71.28,0.462,30941.35,171.6,8.035,8.205,7.955,8.21,7.8,371051,1,157.3914979757085,302.176,44,484,27200,1,0,0,0
20.9864,59.36,0.528,38046.195,143.8,8.36,8.555,8.345,8.375,8.32,490857,1,209.28,244.512,46,470,56400,1,0,0,0
389.964,91.2,0.332,22986.59,173.5,9.27,9.48,9.425,9.55,6.96,215432,0,141.52,262.208,35,712,27600,0,0,1,0
23.4284,68.82,0.552,31563.51,107.3,7.385,7.525,7.395,7.49,8.42,470466,0,161.72,223.088,21,445,38600,0,0,0,1
124.0354,91.2,0.23,34035.485,156.9,8.52,8.8,8.55,8.685,6.96,473168,0,127.08,303.632,42,767,45400,1,0,0,0
20.3002,57.42,0.599,44012.265,98.3,6.925,7.08,7.015,7.21,9.28,564706,1,174.0,268.0,20,489,100000,0,0,1,0
20.2602,58.04,0.558,40223.755,122.8,6.34,6.52,6.41,6.655,8.9,516919,1,125.08,265.232,48,525,65400,0,1,0,0
22.2864,72.12,0.48,37668.455,144.8,8.425,8.63,8.44,8.79,7.82,491484,1,144.6,204.24,58,445,53000,0,0,0,1
25.3876,74.8,0.456,34807.63,156.3,8.31,8.51,8.295,8.36,8.32,474736,1,176.64,283.456,33,543,43200,0,1,0,0
308.766,91.2,0.403,38062.86,173.5,9.24,9.36,9.26,9.21,6.96,399184,1,153.0,284.4,57,566,55000,0,0,1,0
218.331,91.2,0.307,32507.86,151.3,9.15,9.38,9.14,9.33,6.96,270691,0,134.52,281.008,42,613,12600,0,0,0,1
21.3176,59.92,0.512,43134.575,156.8,8.51,8.67,8.52,8.82,7.44,515276,1,169.92,286.368,60,466,79600,1,0,0,0
39.7686,71.28,0.462,32291.215,173.5,7.825,8.01,7.935,8.04,7.8,365213,1,149.8,262.32,29,527,29000,0,0,1,0
20.7096,62.28,0.608,32641.18,92.6,5.385,5.445,5.26,5.47,7.72,459998,0,156.36,303.344,31,438,41800,0,1,0,0
45.4692,94.16,0.395,34718.75,166.1,9.07,9.24,9.06,9.03,9.06,540041,1,168.8,244.32,23,519,54000,0,0,1,0
23.3804,106.3,0.419,33252.23,161.9,8.935,9.075,8.855,9.155,7.18,443766,1,162.56,283.424,22,608,42800,0,0,1,0
23.0172,110.48,0.391,30296.97,166.2,8.95,9.215,9.02,9.175,7.98,411264,0,120.08,282.432,28,605,30400,0,1,0,0
22.5488,68.82,0.552,37607.35,76.4,7.115,7.14,7.0,7.3,7.42,512492,0,154.64,264.256,30,495,53200,1,0,0,0
136.4802,91.2,0.468,34674.31,138.2,8.26,8.31,8.14,8.445,6.96,471764,0,171.2,263.68,22,461,46000,0,0,0,1
492.964,91.2,0.329,35440.9,169.7,9.24,9.39,9.235,9.365,6.96,359760,1,185.24,282.096,54,632,26200,0,0,1,0
22.6234,72.12,0.48,34035.485,158.7,8.825,9.025,8.915,8.99,6.82,442160,1,120.16,283.264,57,517,40800,1,0,0,0
147.8624,91.2,0.416,34229.91,170.9,8.75,8.915,8.75,9.175,7.96,348948,1,181.32,222.128,27,631,26600,0,0,1,0
23.6318,69.76,0.507,35418.68,127.8,7.575,7.81,7.595,7.94,8.08,484440,1,155.24,283.696,40,470,46200,0,0,1,0
412.182,91.2,0.329,40623.715,171.4,9.19,9.345,9.195,9.635,7.96,440970,0,178.0,302.4,45,625,30000,0,1,0,0
30.4116,67.4,0.493,36835.205,150.0,7.77,8.05,7.9,7.985,7.52,502128,1,188.04,304.016,36,464,50200,1,0,0,0
22.1918,78.86,0.427,37740.67,162.8,8.73,8.845,8.8,8.845,6.8,496077,1,158.8,303.52,47,607,44000,0,1,0,0
22.0938,67.82,0.553,40368.185,122.5,7.53,7.66,7.515,7.72,7.48,490028,0,171.28,225.312,35,424,66400,0,0,1,0
184.9618,91.2,0.287,41068.115,172.8,8.615,8.845,8.68,8.955,6.96,407077,1,119.12,222.848,42,692,35600,0,0,0,1
112.9378,91.2,0.386,38773.9,141.1,8.615,8.825,8.73,8.765,6.96,469624,1,147.92,304.768,56,630,59600,1,0,0,0
224.66,91.2,0.386,34357.675,170.2,8.855,9.01,8.82,8.975,7.96,382809,1,105.84,302.336,60,653,29200,0,0,1,0
133.835,91.2,0.417,33963.27,153.3,8.225,8.33,8.12,8.235,6.96,435929,1,171.64,243.056,57,596,38200,0,1,0,0
52.5728,98.78,0.376,27880.545,173.5,9.185,9.34,9.145,9.45,7.76,233100,1,199.76,242.304,43,561,28800,0,1,0,0
199.6592,91.2,0.23,34507.66,170.9,8.92,9.095,8.785,8.955,6.96,399154,0,119.12,282.848,39,773,35600,0,1,0,0
20.1812,60.94,0.6,39373.84,94.3,6.28,6.5,6.18,6.425,7.94,489220,1,156.88,245.152,30,424,64400,1,0,0,0
44.1484,94.16,0.395,32635.625,168.1,8.65,8.79,8.64,9.07,9.06,438703,0,158.96,222.784,28,606,34800,0,0,1,0
207.8126,91.2,0.26,31257.985,167.4,9.065,9.14,8.995,9.165,6.96,334563,1,169.12,302.048,50,731,25600,0,1,0,0
100.7682,91.2,0.468,34602.095,164.2,8.36,8.605,8.415,8.425,6.96,455983,1,173.84,263.136,52,475,39200,1,0,0,0
22.2054,65.26,0.547,35863.08,141.3,6.225,6.46,6.285,6.58,7.06,525189,1,116.88,203.552,56,434,44400,0,1,0,0
21.813,68.92,0.536,32885.6,135.0,7.89,8.185,8.015,8.075,8.28,442828,0,208.28,283.312,29,524,41400,1,0,0,0
256.246,91.2,0.282,37907.32,150.0,8.975,9.105,8.96,9.375,7.96,362317,0,119.36,261.344,26,633,16800,0,1,0,0
20.6098,62.56,0.516,38185.07,101.6,6.645,6.91,6.665,6.85,8.48,534902,0,212.48,224.992,23,464,62400,0,0,0,1
21.372,60.78,0.555,41195.88,136.0,8.085,8.32,8.165,8.435,8.4,484613,0,131.28,265.312,31,510,66400,0,0,0,1
23.2878,66.72,0.569,35735.315,122.6,5.975,6.13,6.055,6.185,7.18,504043,1,167.8,303.92,43,494,49000,0,0,0,1
32.2308,62.94,0.353,48350.72,160.4,8.955,9.235,9.085,9.12,9.4,530690,1,172.0,228.0,54,552,100000,0,0,0,1
1042.716,91.2,0.403,31980.135,173.5,9.155,9.34,9.21,9.47,6.96,474055,0,192.0,222.4,52,617,30000,0,0,0,1
22.2264,110.48,0.391,33235.565,157.0,8.875,9.09,8.94,8.88,6.98,434825,1,178.04,263.216,57,623,40200,0,0,0,1
116.2426,91.2,0.287,37224.055,163.5,8.55,8.81,8.685,8.76,7.96,401242,1,188.56,242.624,29,609,32800,0,0,0,1
216.4698,91.2,0.329,37740.67,172.3,9.215,9.465,9.24,9.365,7.96,349344,1,121.32,282.128,22,691,26600,0,1,0,0
206.7778,91.2,0.321,35440.9,169.1,9.01,9.155,8.935,8.965,7.96,354854,1,175.8,241.52,52,641,19000,0,1,0,0
22.6316,75.02,0.453,34307.68,146.0,8.535,8.645,8.5,8.86,8.44,432696,0,130.48,263.392,23,528,42400,0,1,0,0
22.2138,82.78,0.45,33057.805,167.3,8.54,8.56,8.46,8.66,7.72,411880,1,174.6,283.44,49,481,43000,0,1,0,0
